feature,pubchem_bit,permutation_importance_mean,permutation_importance_std
PubchemFP463,463,-9.233954397125377e-06,3.3306690745647866e-17
PubchemFP260,260,-1.0034670402037094e-05,1.4298272382513598e-05
PubchemFP401,401,-1.0524144185075635e-05,0.00010469990081788846
PubchemFP818,818,-1.1618909886634832e-05,0.0006570426133228035
PubchemFP650,650,-1.1674750174206493e-05,6.683618856142965e-05
PubchemFP329,329,-1.2378350655228853e-05,5.641150441929958e-06
PubchemFP403,403,-1.3782252580618604e-05,0.00016099809562954888
PubchemFP200,200,-1.4184700569663811e-05,6.673708145679679e-05
PubchemFP429,429,-1.4475318048212671e-05,8.485362593479564e-05
PubchemFP635,635,-1.4617258068760908e-05,1.2804457976040554e-05
PubchemFP44,44,-1.5846125267082735e-05,3.94334533634753e-05
PubchemFP445,445,-1.7685544968959466e-05,0.0003528274738843166
PubchemFP434,434,-1.7704928122919128e-05,4.050949066901594e-06
PubchemFP511,511,-1.919593848304091e-05,4.542615947649689e-05
PubchemFP736,736,-2.0797527104920998e-05,2.3566406438440345e-05
PubchemFP437,437,-2.2010323697840838e-05,0.0008137783498556558
PubchemFP384,384,-2.223386253873416e-05,2.814240909260559e-05
PubchemFP578,578,-2.4869420652806616e-05,1.4390334183039327e-05
PubchemFP694,694,-2.603467941793003e-05,2.976865373607117e-05
PubchemFP19,19,-2.609113231741844e-05,0.0009952567746706652
PubchemFP618,618,-2.620001008309947e-05,8.632873937052224e-06
PubchemFP611,611,-2.644252536301295e-05,0.00014782163175615067
PubchemFP624,624,-2.687517925853422e-05,0.00015910109199387964
PubchemFP178,178,-2.9689338869931525e-05,1.1349919172390573e-05
PubchemFP606,606,-3.038065719832561e-05,5.68415383884293e-05
PubchemFP693,693,-3.492232428550235e-05,0.0001371018344089441
PubchemFP453,453,-3.49536204822809e-05,0.00020401924960020446
PubchemFP602,602,-3.686024234345053e-05,0.00041341962602317416
PubchemFP549,549,-3.768767434159104e-05,8.571447488611707e-05
PubchemFP255,255,-4.019302771443023e-05,1.3669037329182906e-05
PubchemFP179,179,-4.6062216217079845e-05,0.00018057618964529795
PubchemFP301,301,-4.763266519446363e-05,0.00039050794108018997
PubchemFP514,514,-4.797898788092558e-05,0.0003459546544178699
PubchemFP803,803,-4.883372847162004e-05,1.136452593657794e-05
PubchemFP34,34,-5.137222762349181e-05,0.0004835826391128796
PubchemFP1,1,-5.143042565639577e-05,5.220335630363595e-05
PubchemFP550,550,-5.2735118504287914e-05,0.0003599650834262237
PubchemFP454,454,-5.616028076194102e-05,0.00014116717826423178
PubchemFP771,771,-6.389484222588671e-05,5.58523664219484e-05
PubchemFP749,749,-6.71863291698438e-05,9.741651831243892e-06
PubchemFP510,510,-7.903108984400609e-05,7.537558717572612e-05
PubchemFP612,612,-8.075117885253391e-05,0.001129226827125824
PubchemFP383,383,-8.417845154891079e-05,0.00026009847238354797
PubchemFP518,518,-8.573640314273323e-05,0.0003414521440635238
PubchemFP569,569,-8.64539669554798e-05,0.0002313094260434393
PubchemFP573,573,-8.83863878827107e-05,0.00034897824094262165
PubchemFP491,491,-8.945116615832749e-05,0.00023370476294672072
PubchemFP397,397,-9.059305454804934e-05,0.0002071567880898271
PubchemFP498,498,-9.070912981021806e-05,0.00021527691707727114
PubchemFP394,394,-9.196519870479092e-05,0.00012924384468402425
PubchemFP449,449,-9.24069886727108e-05,0.00016088022989184644
PubchemFP746,746,-9.60631904101894e-05,5.1115444370151516e-05
PubchemFP502,502,-9.644080425176282e-05,0.0003528354004718205
PubchemFP691,691,-0.00010139293191792076,0.0004088095023046352
PubchemFP365,365,-0.0001025024737499769,0.0006884031461818442
PubchemFP594,594,-0.00010447324082599741,0.0002945455344342016
PubchemFP607,607,-0.00010476548469610104,0.00014821249068082873
PubchemFP722,722,-0.00010781588627023497,5.9852568794895206e-05
PubchemFP464,464,-0.00011687449667799888,0.00020731780920010568
PubchemFP633,633,-0.00012142828354567703,5.3873558060760117e-05
PubchemFP373,373,-0.00013163195896648272,0.00016688905265730154
PubchemFP735,735,-0.00014077717635765374,0.0003099112972887031
PubchemFP589,589,-0.0001472072503114763,0.0001527045318710208
PubchemFP543,543,-0.00014830991247942736,4.768692493546995e-05
PubchemFP3,3,-0.00015297474994605543,0.0005368832923830653
PubchemFP651,651,-0.000154432488552958,0.00013019828337669534
PubchemFP548,548,-0.00016768824188734266,0.0001700529050518062
PubchemFP566,566,-0.00017163341919625985,0.0004527783413230419
PubchemFP501,501,-0.0001724336776657842,0.000374932010997386
PubchemFP604,604,-0.00017874321247840497,0.00021156488390049806
PubchemFP116,116,-0.00018003075740680163,0.0006670188469973721
PubchemFP581,581,-0.0001886165877573287,6.780862441647718e-05
PubchemFP588,588,-0.0001947578166896058,0.00015284138104080508
PubchemFP689,689,-0.00019784781439387001,0.00021829677629360425
PubchemFP629,629,-0.00020251459033870933,0.0002703606462919578
PubchemFP489,489,-0.00020536620710343012,6.662719467716809e-05
PubchemFP821,821,-0.00021208421448749571,0.0007836174092223287
PubchemFP181,181,-0.00021281695041961424,0.002078258302669522
PubchemFP752,752,-0.00021566444566183395,0.00013071940950311998
PubchemFP655,655,-0.00021953727169858882,0.00033531621937921754
PubchemFP613,613,-0.00022131861919775231,0.0003712925287481438
PubchemFP257,257,-0.00022300599477339533,0.00034342272045408514
PubchemFP146,146,-0.0002281463807129902,0.0006662214141850781
PubchemFP703,703,-0.00022861875387316654,0.00022674858754197498
PubchemFP559,559,-0.0002330631068557243,5.7234371537291785e-05
PubchemFP485,485,-0.00023362697227889971,6.364330979807211e-05
