feature,pubchem_bit,mean_abs_SHAP,permutation_importance_mean,permutation_importance_std,definition
PubchemFP438,438,0.0021024135717095816,-0.0008653786674121978,0.00043970156495316885,C(-C)(-N)(=N)
PubchemFP513,513,0.002067905977219963,0.0012495707068651773,0.0005565657836842959,S:C:C-[#1]
PubchemFP710,710,0.002062942354642088,0.0010185042469136873,0.0005182111309228065,C-C-C(C)-C-C
PubchemFP777,777,0.0020411606686335368,0.0007321275389547855,0.0005228885325822086,CC1CCC(O)CC1
PubchemFP597,597,0.002037832210830767,0.0004957136010148688,0.0005925961535018354,O=C-C-C:C
PubchemFP641,641,0.002031715845360953,-0.0004836749907688676,0.00026352740176549923,O-C-C-C=C
PubchemFP43,43,0.0020044537443649887,0.0002478039610293803,0.00025711703909024126,>= 1 Br
PubchemFP528,528,0.0019444602725658244,0.0005661466618822053,0.0003269205336297646,[#1]-N-C-[#1]
PubchemFP716,716,0.001941535970627805,-0.0007249153348848014,0.00048176496579361466,Cc1ccc(N)cc1
PubchemFP707,707,0.0019161482135198525,0.00011954393812846353,0.00038207456218559526,O=C-C-C-C-C(N)-C
PubchemFP714,714,0.0019057649583165172,0.0006353552263863804,0.0007016802855475405,Cc1ccc(O)cc1
PubchemFP532,532,0.0018978081945345187,9.955504058397623e-05,0.00033994463699699385,S-C:C-[#1]
PubchemFP330,330,0.0018640146483509443,0.0001609734570438448,0.0001902618160256049,C(~Br)(:C)
PubchemFP554,554,0.001833934611185456,0.00021296399489968422,0.00023299112916163182,Br-C-C-C
PubchemFP34,34,0.0018058327034817102,-5.137222762349181e-05,0.0004835826391128796,>= 2 S
PubchemFP129,129,0.001798307822236136,8.587584515449276e-05,3.2948215018996684e-05,>= 1 any ring size 4
PubchemFP339,339,0.0017951332430849462,0.0009824946689366509,0.0003315965256217859,C(~C)(~C)(~H)(~O)
PubchemFP615,615,0.0017906805055248381,-0.0011870017515054898,0.0005095137994928745,N-C-C-O-C
PubchemFP721,721,0.0017707613782104955,-0.0004949429599156785,0.00021516895203784137,Oc1ccc(N)cc1
PubchemFP675,675,0.001755466827221525,0.00012151280707493051,0.00017826678971344473,Br-C-C-C:C
PubchemFP755,755,0.0017481167123307515,2.929340540328562e-05,0.0005001971365872571,Cc1c(C)cccc1
PubchemFP691,691,0.0017439552795980573,-0.00010139293191792076,0.0004088095023046352,O-C-C-C-C-C-N
PubchemFP152,152,0.0017259374964334743,0.00025957240759487686,0.00013751641561331535,>= 2 saturated or aromatic nitrogen-containing ring size 5
PubchemFP405,405,0.001720681083973593,-0.0004914689176861553,0.0003355196644543064,O(~C)(~C)
PubchemFP658,658,0.0017190845139639765,-0.00026278051167638594,0.00037345809012107175,C-C-S-C-C
PubchemFP327,327,0.0017180405663591097,0.00018052222387032746,0.00029941721560269554,C(~Br)(~C)
PubchemFP519,519,0.001698366180565551,0.0011445022674476224,0.00015625221485114822,N=C-N-C
PubchemFP674,674,0.0016556071746525677,0.00034748715733938783,0.00015839977506806134,N-C-N-C:C
