feature,pubchem_bit,mean_abs_SHAP
PubchemFP353,353,0.0011697375310130097
PubchemFP383,383,0.0011463040186149092
PubchemFP397,397,0.0011298472045332343
PubchemFP546,546,0.0011279121457503855
PubchemFP588,588,0.0011231325051853428
PubchemFP798,798,0.0011134957526510452
PubchemFP681,681,0.0011087701665166367
PubchemFP574,574,0.001101512968069584
PubchemFP589,589,0.0010842603657190016
PubchemFP429,429,0.0010811303412984648
PubchemFP403,403,0.0010777391176636827
PubchemFP333,333,0.0010707836059289945
PubchemFP396,396,0.0010627871240937072
PubchemFP293,293,0.0010566625670069558
PubchemFP452,452,0.0010501517345100774
PubchemFP680,680,0.0010413325028428104
PubchemFP257,257,0.0010407890034557846
PubchemFP761,761,0.0010403372451258904
PubchemFP735,735,0.0010096255365083088
PubchemFP381,381,0.001001350218489935
PubchemFP118,118,0.001000421156222971
PubchemFP487,487,0.0009999037422528765
PubchemFP395,395,0.0009807930351774408
PubchemFP685,685,0.0009649274365010831
PubchemFP382,382,0.0009638017512017844
PubchemFP652,652,0.0009627456395028122
PubchemFP702,702,0.000955192582171006
PubchemFP708,708,0.0009530531655497933
PubchemFP494,494,0.0009485868621791588
PubchemFP693,693,0.0009416954427215492
PubchemFP450,450,0.0009378936599432208
PubchemFP651,651,0.0009306779140979209
PubchemFP489,489,0.0009180780245667783
PubchemFP629,629,0.0009138793771884703
PubchemFP647,647,0.0009081517933751778
PubchemFP746,746,0.0009054994850816911
PubchemFP476,476,0.0008954438309217501
PubchemFP559,559,0.0008952954548766849
PubchemFP185,185,0.0008891435956733953
PubchemFP625,625,0.0008836161137516783
PubchemFP331,331,0.0008825000282821348
PubchemFP551,551,0.0008819958431904116
PubchemFP594,594,0.0008809398559090402
PubchemFP508,508,0.0008717459102222754
PubchemFP709,709,0.0008461114184192028
PubchemFP194,194,0.0008447445264443655
PubchemFP630,630,0.0008240763814003559
PubchemFP200,200,0.0008145122014578872
PubchemFP453,453,0.000794172979094304
PubchemFP689,689,0.000786425036319085
PubchemFP604,604,0.0007846496301019634
PubchemFP565,565,0.000784002195156396
PubchemFP195,195,0.0007821342295695806
PubchemFP343,343,0.0007769440957400997
PubchemFP583,583,0.0007754580801770107
PubchemFP404,404,0.0007685053336553932
PubchemFP505,505,0.0007565102039473856
PubchemFP616,616,0.0007516816619118862
PubchemFP544,544,0.000742414427842444
PubchemFP475,475,0.0007289605865582607
PubchemFP585,585,0.0007245340268228633
PubchemFP613,613,0.0007210129648084231
PubchemFP764,764,0.0007198632530266325
PubchemFP495,495,0.0007058630411801239
PubchemFP531,531,0.000704400089250273
PubchemFP605,605,0.0006935882080373399
PubchemFP401,401,0.0006798027975023597
PubchemFP356,356,0.0006768366552021696
PubchemFP560,560,0.0006767547976199291
PubchemFP752,752,0.0006621791794013577
PubchemFP606,606,0.0006610780251746003
PubchemFP430,430,0.0006555179299116822
PubchemFP423,423,0.0006398566934051402
PubchemFP387,387,0.0006208023664105474
PubchemFP462,462,0.0006045381789327429
PubchemFP155,155,0.0006020252717765787
PubchemFP633,633,0.0006019033738978038
PubchemFP472,472,0.0005963328195021152
PubchemFP750,750,0.0005886122819405168
PubchemFP628,628,0.0005594746102036027
PubchemFP394,394,0.0005585703530812608
PubchemFP464,464,0.0005463662585763569
PubchemFP498,498,0.0005265238755771057
PubchemFP705,705,0.0005226033298602998
PubchemFP454,454,0.0005091179754254702
PubchemFP547,547,0.0005014820402070471
PubchemFP481,481,0.0004905099811823555
PubchemFP511,511,0.0004892304926414074
PubchemFP624,624,0.00048018397045086986
PubchemFP695,695,0.0004650314388558064
PubchemFP541,541,0.00046339496167438883
PubchemFP418,418,0.00045862997520201425
PubchemFP484,484,0.0004467163129547793
PubchemFP499,499,0.0004351788217578134
PubchemFP543,543,0.0004338268873588672
PubchemFP773,773,0.00043363354779203694
PubchemFP739,739,0.0004253870951542564
PubchemFP485,485,0.00041904053857904196
PubchemFP474,474,0.0004164075133312429
